currency,date,rate
HUF,08-02-20,344.425
HUF,08-03-20,344.581
HUF,08-04-20,346.2725
HUF,08-05-20,344.9675
HUF,08-06-20,346.11
HUF,08-07-20,346.16
HUF,08-08-20,346.2
HUF,08-09-20,346.27
HUF,08-10-20,344.8725
CZK,08-01-20,26.241
CZK,08-02-20,26.25705
CZK,08-03-20,26.2755
CZK,08-04-20,26.1236
CZK,08-05-20,26.0871
CZK,08-06-20,26.3257
CZK,08-07-20,26.30805
CZK,08-08-20,26.3153
CZK,08-09-20,26.31425
CZK,08-10-20,26.1969
BRL,08-01-20,6.1343
BRL,08-02-20,6.1343
BRL,08-03-20,6.2566
BRL,08-04-20,6.2504
BRL,08-05-20,6.2839
BRL,08-06-20,6.3324
BRL,08-07-20,6.4111
BRL,08-08-20,6.4111
BRL,08-09-20,6.4111
BRL,08-10-20,6.4351
